Number,Questions,Option a,Option b,Option c,Option d,Correct Answer,Explanation,Level of Difficulty,Source,SUBJECT
78,A patient with a tracheostomy requires suctioning. What is a key safety precaution?,Apply suction continuously for 30 seconds,Use a catheter that is half the diameter of the tracheostomy tube,Instill normal saline into the tracheostomy before suctioning,"Apply suction only while withdrawing the catheter, for no longer than 10-15 seconds",d,Applying suction for too long or while inserting the catheter can cause hypoxia and trauma to the tracheal mucosa. The procedure should be brief and intermittent.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
79,"A patient with a new spinal cord injury suddenly develops a pounding headache, high blood pressure, and profuse sweating. What condition should the nurse suspect?",A stroke,A heart attack,Autonomic dysreflexia,A panic attack,c,"Autonomic dysreflexia is a medical emergency common in patients with spinal cord injuries above the T6 level. It is a massive, uncompensated cardiovascular response to a noxious stimulus below the level of the injury (e.g., a full bladder).",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
80,A patient is prescribed a medication '2mg SL'. What does 'SL' stand for?,Slowly,Sublingual (under the tongue),Saline lock,Soft liquid,b,"SL' is the abbreviation for sublingual, meaning the tablet should be placed under the tongue where it dissolves and is absorbed directly into the bloodstream.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
81,What is the primary purpose of medication reconciliation?,To check if the patient is taking their medication,"To create a single, accurate list of a patient's current medications",To order new medications for the patient,To dispose of old medications,b,"Medication reconciliation is the process of comparing a patient's medication orders to all of the medications that the patient has been taking. This is done to avoid medication errors such as omissions, duplications, dosing errors, or drug interactions.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
82,"In the context of safeguarding, what does 'making safeguarding personal' mean?",Only safeguarding people you know personally,Ensuring the person is at the centre of the safeguarding process and that their views and wishes are considered,Keeping safeguarding concerns confidential,Focusing on the needs of the organisation,b,Making Safeguarding Personal is a person-centred approach that involves professionals working with the adult at risk to establish what they want to happen and to find solutions that are tailored to their individual circumstances.,Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
83,"A patient has a pressure ulcer that shows full-thickness skin and tissue loss, with exposed fascia, muscle, or bone. How would this be staged?",Stage 1,Stage 2,Stage 3,Stage 4,d,"A Stage 4 pressure ulcer is the most severe, involving full-thickness skin and tissue loss, where the damage extends to muscle, bone, or supporting structures.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
84,What is the Waterlow Score used to assess?,A patient's nutritional status,A patient's risk of developing pressure ulcers,A patient's level of confusion,A patient's risk of falls,b,"The Waterlow Score is a widely used risk assessment tool that predicts a patient's risk of developing a pressure ulcer. It considers factors like BMI, mobility, skin type, and continence.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
85,Which of the following is a key principle of breaking bad news?,Do it quickly and leave,Use complex medical terminology to be accurate,"Ensure privacy, check what the patient already knows, and give information in small chunks",Be blunt to avoid giving false hope,c,"A structured approach (like the SPIKES protocol) is recommended. This involves setting up the interview in private, assessing the patient's perception, obtaining an invitation to share information, giving knowledge and information, addressing emotions with empathy, and summarising.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
86,A patient is assessed as lacking the capacity to make a decision about their care. What is the next step?,A decision must be made in the patient's 'best interests',The patient's next of kin automatically makes the decision,No decision can be made until the patient regains capacity,The doctor makes the decision based on their own preference,a,"Under the Mental Capacity Act 2005, any act done for, or on behalf of, a person who lacks capacity must be done in their best interests. This involves considering the person's wishes, feelings, beliefs, and values.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
87,What is the role of a Patient Advice and Liaison Service (PALS)?,To provide clinical advice,To help resolve concerns or problems when a patient is using the NHS,To handle formal complaints,To book hospital appointments,b,"PALS offers confidential advice, support, and information on health-related matters. They provide a point of contact for patients, their families, and their carers, helping to resolve issues quickly before they become a formal complaint.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
88,What is postural hypotension?,High blood pressure when standing up,A sudden drop in blood pressure when standing up from a sitting or lying position,A consistently low blood pressure,A drop in blood pressure during exercise,b,"Postural (or orthostatic) hypotension can cause dizziness and an increased risk of falls, particularly in older adults. It's caused by a delay in the normal constriction of blood vessels when changing position.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
89,What is the primary aim of health promotion?,To treat existing illnesses,"To enable people to increase control over, and to improve, their health",To reduce healthcare costs,To ensure people follow medical advice,b,"Health promotion involves a wide range of activities, including health education, preventative services, and creating supportive environments, to help individuals and communities lead healthier lives.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
90,What is the main purpose of a multidisciplinary team (MDT) meeting?,To discuss staff rotas,To review the hospital budget,For a group of professionals from different disciplines to come together to make decisions about a patient's care,For nurses to report to doctors,c,"MDT meetings bring together different healthcare professionals (e.g., doctors, nurses, therapists, social workers) to share expertise and collaboratively plan a patient's treatment and care.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
91,Which of the following is an example of a 'Never Event'?,A patient developing a pressure ulcer,A patient having a fall in hospital,A patient being given an overdose of insulin due to a known incorrect device being used,A patient complaining about the food,c,Wrong route administration of medication is a specific 'Never Event'. The list includes serious incidents that are largely preventable if national guidance or safety recommendations are followed.,Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
92,What is the purpose of an Independent Mental Capacity Advocate (IMCA)?,To provide care for people who lack capacity,To make best interest decisions for people who lack capacity,To support and represent people who lack capacity and have no one else to speak for them,To assess a person's mental capacity,c,"An IMCA is a legal safeguard for people who lack capacity to make specific important decisions, and who do not have family or friends who can be consulted. They ensure the person's rights are protected.",Hard,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
